MC01_c,MC02_c,MC03_c,MC04_c,WFc01_c,PK_State_Average
0,0,0,0,PA,0.6622222222222223
1,1,0,1,NY,0.7316810344827587
1,0,1,1,FL,0.680628272251309
1,0,1,1,VA,0.7158119658119658
1,1,0,1,WI,0.7091346153846154
1,0,1,0,CT,0.7205882352941176
0,0,0,1,PA,0.6622222222222223
1,1,1,1,TX,0.6930051813471503
1,1,1,1,VA,0.7158119658119658
1,0,1,1,MI,0.7061068702290076
0,0,0,0,IN,0.6658415841584159
1,0,0,1,NJ,0.7
1,0,0,1,MN,0.7476190476190476
0,0,1,1,TX,0.6930051813471503
1,0,0,1,TN,0.6728723404255319
0,0,0,0,VA,0.7158119658119658
1,0,1,1,OH,0.6855828220858896
1,0,0,1,MI,0.7061068702290076
1,1,1,1,PA,0.6622222222222223
1,0,1,1,NC,0.6365384615384615
0,1,0,0,NY,0.7316810344827587
1,0,0,1,OH,0.6855828220858896
0,0,1,0,PA,0.6622222222222223
1,0,1,1,PA,0.6622222222222223
1,1,0,1,MO,0.7005208333333334
1,1,1,1,WV,0.6484375
0,0,1,0,IA,0.6938775510204082
0,1,0,0,AZ,0.7268518518518519
1,1,1,1,KY,0.631578947368421
1,0,0,1,CT,0.7205882352941176
1,1,1,1,DE,0.75
1,1,1,1,NY,0.7316810344827587
1,1,1,1,MO,0.7005208333333334
0,1,0,0,TX,0.6930051813471503
1,1,1,1,IL,0.6966911764705882
1,0,1,1,WY,0.75
1,1,1,1,CO,0.7090163934426229
1,0,1,1,NY,0.7316810344827587
1,0,0,1,NH,0.7045454545454546
0,0,0,1,WY,0.75
1,0,1,0,KY,0.631578947368421
1,1,1,1,VA,0.7158119658119658
0,0,1,0,IL,0.6966911764705882
1,0,1,1,NY,0.7316810344827587
1,0,0,1,PA,0.6622222222222223
1,1,1,1,NY,0.7316810344827587
1,0,1,1,KS,0.75
1,1,1,1,ID,0.6578947368421053
1,1,0,1,UT,0.756578947368421
1,1,0,1,TX,0.6930051813471503
1,0,1,1,VA,0.7158119658119658
1,1,1,1,OH,0.6855828220858896
1,1,0,1,PA,0.6622222222222223
1,0,1,1,MI,0.7061068702290076
